,well id,well name,analysis date,formation,sample depth,kmax,kmax-h,k90,kvert,porosity,grain density,bulk density,lithology description
2110,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3915.0,1.78,0.53,1.3,1.34,0.026,2820.0,2750.0,"dol,intgran,ppv,sv,anhy,carb"
2111,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3157.94,1.72,0.58,1.3,0.25,0.05,2830.0,2690.0,"lv,sv"
2112,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3157.94,1.72,0.58,1.3,0.25,0.05,2830.0,2690.0,"lv,sv"
2113,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3157.94,1.72,0.58,1.3,0.25,0.05,2830.0,2690.0,"lv,sv"
2114,300I276010124000,CANADA SOUTHERN PETROLEUM LTD. N BEAVER R YT I-27,2/12/1964,Dnahanni,3843.59,1.4,0.77,1.3,0.75,0.03,,,"dol,occ,vug,xl,anhy"
2118,300A556030123450,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3167.85,3.01,0.81,1.29,0.33,0.054,2830.0,2680.0,"few,lv,sv"
2119,300A556030123451,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3167.85,3.01,0.81,1.29,0.33,0.054,2830.0,2680.0,"few,lv,sv"
2120,300A556030123452,APACHE AMOCO A-4 POINTED MOUNTAIN A-55,8/1/1974,Dnahanni,3167.85,3.01,0.81,1.29,0.33,0.054,2830.0,2680.0,"few,lv,sv"
2121,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3906.74,1.93,0.71,1.29,0.13,0.024,2810.0,2740.0,"dol,intgran,ppv,sv,anhy,carb"
2122,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3918.08,1.64,0.71,1.29,0.6,0.026,2830.0,2760.0,"dol,intgran,ppv,sv,anhy,carb"
2123,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3903.57,1.44,0.49,1.29,0.25,0.023,2800.0,2730.0,"dol,intgran,ppv,sv,anhy,carb"
2124,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3930.27,4.89,1.03,1.28,0.54,0.036,2730.0,2630.0,"dol,intgran,ppv,sv,anhy,carb"
